gene_ctype,gene_name,cell_type,c_type_num,gene_num
ABHD14A_Age-associated B cells,ABHD14A,Age-associated B cells,2,37
ABHD14A_CD16+ NK cells,ABHD14A,CD16+ NK cells,18,37
ABHD14A_CD16- NK cells,ABHD14A,CD16- NK cells,17,37
ABHD14A_Classical monocytes,ABHD14A,Classical monocytes,5,37
ABHD14A_DC2,ABHD14A,DC2,7,37
ABHD14A_MAIT cells,ABHD14A,MAIT cells,15,37
ABHD14A_Memory B cells,ABHD14A,Memory B cells,1,37
ABHD14A_NK cells,ABHD14A,NK cells,16,37
ABHD14A_Naive B cells,ABHD14A,Naive B cells,0,37
ABHD14A_Non-classical monocytes,ABHD14A,Non-classical monocytes,6,37
ABHD14A_Plasma cells,ABHD14A,Plasma cells,4,37
ABHD14A_Plasmablasts,ABHD14A,Plasmablasts,3,37
ABHD14A_Regulatory T cells,ABHD14A,Regulatory T cells,11,37
ABHD14A_Tcm/Naive cytotoxic T cells,ABHD14A,Tcm/Naive cytotoxic T cells,13,37
ABHD14A_Tcm/Naive helper T cells,ABHD14A,Tcm/Naive helper T cells,9,37
ABHD14A_Tem/Effector helper T cells,ABHD14A,Tem/Effector helper T cells,10,37
ABHD14A_Tem/Temra cytotoxic T cells,ABHD14A,Tem/Temra cytotoxic T cells,12,37
ABHD14A_Tem/Trm cytotoxic T cells,ABHD14A,Tem/Trm cytotoxic T cells,14,37
ABHD14A_pDC,ABHD14A,pDC,8,37
ADAMTS20_Age-associated B cells,ADAMTS20,Age-associated B cells,2,22
ADAMTS20_CD16+ NK cells,ADAMTS20,CD16+ NK cells,18,22
ADAMTS20_CD16- NK cells,ADAMTS20,CD16- NK cells,17,22
ADAMTS20_Classical monocytes,ADAMTS20,Classical monocytes,5,22
ADAMTS20_DC2,ADAMTS20,DC2,7,22
ADAMTS20_MAIT cells,ADAMTS20,MAIT cells,15,22
ADAMTS20_Memory B cells,ADAMTS20,Memory B cells,1,22
ADAMTS20_NK cells,ADAMTS20,NK cells,16,22
ADAMTS20_Naive B cells,ADAMTS20,Naive B cells,0,22
ADAMTS20_Non-classical monocytes,ADAMTS20,Non-classical monocytes,6,22
ADAMTS20_Plasma cells,ADAMTS20,Plasma cells,4,22
ADAMTS20_Plasmablasts,ADAMTS20,Plasmablasts,3,22
ADAMTS20_Regulatory T cells,ADAMTS20,Regulatory T cells,11,22
ADAMTS20_Tcm/Naive cytotoxic T cells,ADAMTS20,Tcm/Naive cytotoxic T cells,13,22
ADAMTS20_Tcm/Naive helper T cells,ADAMTS20,Tcm/Naive helper T cells,9,22
ADAMTS20_Tem/Effector helper T cells,ADAMTS20,Tem/Effector helper T cells,10,22
ADAMTS20_Tem/Temra cytotoxic T cells,ADAMTS20,Tem/Temra cytotoxic T cells,12,22
ADAMTS20_Tem/Trm cytotoxic T cells,ADAMTS20,Tem/Trm cytotoxic T cells,14,22
ADAMTS20_pDC,ADAMTS20,pDC,8,22
ADAT2_Age-associated B cells,ADAT2,Age-associated B cells,2,9
ADAT2_CD16+ NK cells,ADAT2,CD16+ NK cells,18,9
ADAT2_CD16- NK cells,ADAT2,CD16- NK cells,17,9
ADAT2_Classical monocytes,ADAT2,Classical monocytes,5,9
ADAT2_DC2,ADAT2,DC2,7,9
ADAT2_MAIT cells,ADAT2,MAIT cells,15,9
ADAT2_Memory B cells,ADAT2,Memory B cells,1,9
ADAT2_NK cells,ADAT2,NK cells,16,9
ADAT2_Naive B cells,ADAT2,Naive B cells,0,9
ADAT2_Non-classical monocytes,ADAT2,Non-classical monocytes,6,9
ADAT2_Plasma cells,ADAT2,Plasma cells,4,9
ADAT2_Plasmablasts,ADAT2,Plasmablasts,3,9
ADAT2_Regulatory T cells,ADAT2,Regulatory T cells,11,9
ADAT2_Tcm/Naive cytotoxic T cells,ADAT2,Tcm/Naive cytotoxic T cells,13,9
ADAT2_Tcm/Naive helper T cells,ADAT2,Tcm/Naive helper T cells,9,9
ADAT2_Tem/Effector helper T cells,ADAT2,Tem/Effector helper T cells,10,9
ADAT2_Tem/Temra cytotoxic T cells,ADAT2,Tem/Temra cytotoxic T cells,12,9
ADAT2_Tem/Trm cytotoxic T cells,ADAT2,Tem/Trm cytotoxic T cells,14,9
ADAT2_pDC,ADAT2,pDC,8,9
ADGRL3_Age-associated B cells,ADGRL3,Age-associated B cells,2,39
ADGRL3_CD16+ NK cells,ADGRL3,CD16+ NK cells,18,39
ADGRL3_CD16- NK cells,ADGRL3,CD16- NK cells,17,39
ADGRL3_Classical monocytes,ADGRL3,Classical monocytes,5,39
ADGRL3_DC2,ADGRL3,DC2,7,39
ADGRL3_MAIT cells,ADGRL3,MAIT cells,15,39
ADGRL3_Memory B cells,ADGRL3,Memory B cells,1,39
ADGRL3_NK cells,ADGRL3,NK cells,16,39
ADGRL3_Naive B cells,ADGRL3,Naive B cells,0,39
ADGRL3_Non-classical monocytes,ADGRL3,Non-classical monocytes,6,39
ADGRL3_Plasma cells,ADGRL3,Plasma cells,4,39
ADGRL3_Plasmablasts,ADGRL3,Plasmablasts,3,39
ADGRL3_Regulatory T cells,ADGRL3,Regulatory T cells,11,39
ADGRL3_Tcm/Naive cytotoxic T cells,ADGRL3,Tcm/Naive cytotoxic T cells,13,39
ADGRL3_Tcm/Naive helper T cells,ADGRL3,Tcm/Naive helper T cells,9,39
ADGRL3_Tem/Effector helper T cells,ADGRL3,Tem/Effector helper T cells,10,39
ADGRL3_Tem/Temra cytotoxic T cells,ADGRL3,Tem/Temra cytotoxic T cells,12,39
ADGRL3_Tem/Trm cytotoxic T cells,ADGRL3,Tem/Trm cytotoxic T cells,14,39
ADGRL3_pDC,ADGRL3,pDC,8,39
ADGRV1_Age-associated B cells,ADGRV1,Age-associated B cells,2,42
ADGRV1_CD16+ NK cells,ADGRV1,CD16+ NK cells,18,42
ADGRV1_CD16- NK cells,ADGRV1,CD16- NK cells,17,42
ADGRV1_Classical monocytes,ADGRV1,Classical monocytes,5,42
ADGRV1_DC2,ADGRV1,DC2,7,42
ADGRV1_MAIT cells,ADGRV1,MAIT cells,15,42
ADGRV1_Memory B cells,ADGRV1,Memory B cells,1,42
ADGRV1_NK cells,ADGRV1,NK cells,16,42
ADGRV1_Naive B cells,ADGRV1,Naive B cells,0,42
ADGRV1_Non-classical monocytes,ADGRV1,Non-classical monocytes,6,42
ADGRV1_Plasma cells,ADGRV1,Plasma cells,4,42
ADGRV1_Plasmablasts,ADGRV1,Plasmablasts,3,42
ADGRV1_Regulatory T cells,ADGRV1,Regulatory T cells,11,42
ADGRV1_Tcm/Naive cytotoxic T cells,ADGRV1,Tcm/Naive cytotoxic T cells,13,42
ADGRV1_Tcm/Naive helper T cells,ADGRV1,Tcm/Naive helper T cells,9,42
ADGRV1_Tem/Effector helper T cells,ADGRV1,Tem/Effector helper T cells,10,42
ADGRV1_Tem/Temra cytotoxic T cells,ADGRV1,Tem/Temra cytotoxic T cells,12,42
ADGRV1_Tem/Trm cytotoxic T cells,ADGRV1,Tem/Trm cytotoxic T cells,14,42
ADGRV1_pDC,ADGRV1,pDC,8,42
AFG3L2_Age-associated B cells,AFG3L2,Age-associated B cells,2,44
AFG3L2_CD16+ NK cells,AFG3L2,CD16+ NK cells,18,44
AFG3L2_CD16- NK cells,AFG3L2,CD16- NK cells,17,44
AFG3L2_Classical monocytes,AFG3L2,Classical monocytes,5,44
AFG3L2_DC2,AFG3L2,DC2,7,44
AFG3L2_MAIT cells,AFG3L2,MAIT cells,15,44
AFG3L2_Memory B cells,AFG3L2,Memory B cells,1,44
AFG3L2_NK cells,AFG3L2,NK cells,16,44
AFG3L2_Naive B cells,AFG3L2,Naive B cells,0,44
AFG3L2_Non-classical monocytes,AFG3L2,Non-classical monocytes,6,44
AFG3L2_Plasma cells,AFG3L2,Plasma cells,4,44
AFG3L2_Plasmablasts,AFG3L2,Plasmablasts,3,44
AFG3L2_Regulatory T cells,AFG3L2,Regulatory T cells,11,44
AFG3L2_Tcm/Naive cytotoxic T cells,AFG3L2,Tcm/Naive cytotoxic T cells,13,44
AFG3L2_Tcm/Naive helper T cells,AFG3L2,Tcm/Naive helper T cells,9,44
AFG3L2_Tem/Effector helper T cells,AFG3L2,Tem/Effector helper T cells,10,44
AFG3L2_Tem/Temra cytotoxic T cells,AFG3L2,Tem/Temra cytotoxic T cells,12,44
AFG3L2_Tem/Trm cytotoxic T cells,AFG3L2,Tem/Trm cytotoxic T cells,14,44
AFG3L2_pDC,AFG3L2,pDC,8,44
AGMO_Age-associated B cells,AGMO,Age-associated B cells,2,7
AGMO_CD16+ NK cells,AGMO,CD16+ NK cells,18,7
AGMO_CD16- NK cells,AGMO,CD16- NK cells,17,7
AGMO_Classical monocytes,AGMO,Classical monocytes,5,7
AGMO_DC2,AGMO,DC2,7,7
AGMO_MAIT cells,AGMO,MAIT cells,15,7
AGMO_Memory B cells,AGMO,Memory B cells,1,7
AGMO_NK cells,AGMO,NK cells,16,7
AGMO_Naive B cells,AGMO,Naive B cells,0,7
AGMO_Non-classical monocytes,AGMO,Non-classical monocytes,6,7
AGMO_Plasma cells,AGMO,Plasma cells,4,7
AGMO_Plasmablasts,AGMO,Plasmablasts,3,7
AGMO_Regulatory T cells,AGMO,Regulatory T cells,11,7
AGMO_Tcm/Naive cytotoxic T cells,AGMO,Tcm/Naive cytotoxic T cells,13,7
AGMO_Tcm/Naive helper T cells,AGMO,Tcm/Naive helper T cells,9,7
AGMO_Tem/Effector helper T cells,AGMO,Tem/Effector helper T cells,10,7
AGMO_Tem/Temra cytotoxic T cells,AGMO,Tem/Temra cytotoxic T cells,12,7
AGMO_Tem/Trm cytotoxic T cells,AGMO,Tem/Trm cytotoxic T cells,14,7
AGMO_pDC,AGMO,pDC,8,7
ALPK3_Age-associated B cells,ALPK3,Age-associated B cells,2,294
ALPK3_CD16+ NK cells,ALPK3,CD16+ NK cells,18,294
ALPK3_CD16- NK cells,ALPK3,CD16- NK cells,17,294
ALPK3_Classical monocytes,ALPK3,Classical monocytes,5,294
ALPK3_DC2,ALPK3,DC2,7,294
ALPK3_MAIT cells,ALPK3,MAIT cells,15,294
ALPK3_Memory B cells,ALPK3,Memory B cells,1,294
ALPK3_NK cells,ALPK3,NK cells,16,294
ALPK3_Naive B cells,ALPK3,Naive B cells,0,294
ALPK3_Non-classical monocytes,ALPK3,Non-classical monocytes,6,294
ALPK3_Plasma cells,ALPK3,Plasma cells,4,294
ALPK3_Plasmablasts,ALPK3,Plasmablasts,3,294
ALPK3_Regulatory T cells,ALPK3,Regulatory T cells,11,294
ALPK3_Tcm/Naive cytotoxic T cells,ALPK3,Tcm/Naive cytotoxic T cells,13,294
ALPK3_Tcm/Naive helper T cells,ALPK3,Tcm/Naive helper T cells,9,294
ALPK3_Tem/Effector helper T cells,ALPK3,Tem/Effector helper T cells,10,294
ALPK3_Tem/Temra cytotoxic T cells,ALPK3,Tem/Temra cytotoxic T cells,12,294
ALPK3_Tem/Trm cytotoxic T cells,ALPK3,Tem/Trm cytotoxic T cells,14,294
ALPK3_pDC,ALPK3,pDC,8,294
ANKRD36C_Age-associated B cells,ANKRD36C,Age-associated B cells,2,58
ANKRD36C_CD16+ NK cells,ANKRD36C,CD16+ NK cells,18,58
ANKRD36C_CD16- NK cells,ANKRD36C,CD16- NK cells,17,58
ANKRD36C_Classical monocytes,ANKRD36C,Classical monocytes,5,58
ANKRD36C_DC2,ANKRD36C,DC2,7,58
ANKRD36C_MAIT cells,ANKRD36C,MAIT cells,15,58
ANKRD36C_Memory B cells,ANKRD36C,Memory B cells,1,58
ANKRD36C_NK cells,ANKRD36C,NK cells,16,58
ANKRD36C_Naive B cells,ANKRD36C,Naive B cells,0,58
ANKRD36C_Non-classical monocytes,ANKRD36C,Non-classical monocytes,6,58
ANKRD36C_Plasma cells,ANKRD36C,Plasma cells,4,58
ANKRD36C_Plasmablasts,ANKRD36C,Plasmablasts,3,58
ANKRD36C_Regulatory T cells,ANKRD36C,Regulatory T cells,11,58
ANKRD36C_Tcm/Naive cytotoxic T cells,ANKRD36C,Tcm/Naive cytotoxic T cells,13,58
ANKRD36C_Tcm/Naive helper T cells,ANKRD36C,Tcm/Naive helper T cells,9,58
ANKRD36C_Tem/Effector helper T cells,ANKRD36C,Tem/Effector helper T cells,10,58
ANKRD36C_Tem/Temra cytotoxic T cells,ANKRD36C,Tem/Temra cytotoxic T cells,12,58
ANKRD36C_Tem/Trm cytotoxic T cells,ANKRD36C,Tem/Trm cytotoxic T cells,14,58
ANKRD36C_pDC,ANKRD36C,pDC,8,58
APOBEC3F_Age-associated B cells,APOBEC3F,Age-associated B cells,2,60
APOBEC3F_CD16+ NK cells,APOBEC3F,CD16+ NK cells,18,60
APOBEC3F_CD16- NK cells,APOBEC3F,CD16- NK cells,17,60
APOBEC3F_Classical monocytes,APOBEC3F,Classical monocytes,5,60
APOBEC3F_DC2,APOBEC3F,DC2,7,60
APOBEC3F_MAIT cells,APOBEC3F,MAIT cells,15,60
APOBEC3F_Memory B cells,APOBEC3F,Memory B cells,1,60
APOBEC3F_NK cells,APOBEC3F,NK cells,16,60
APOBEC3F_Naive B cells,APOBEC3F,Naive B cells,0,60
APOBEC3F_Non-classical monocytes,APOBEC3F,Non-classical monocytes,6,60
APOBEC3F_Plasma cells,APOBEC3F,Plasma cells,4,60
APOBEC3F_Plasmablasts,APOBEC3F,Plasmablasts,3,60
APOBEC3F_Regulatory T cells,APOBEC3F,Regulatory T cells,11,60
APOBEC3F_Tcm/Naive cytotoxic T cells,APOBEC3F,Tcm/Naive cytotoxic T cells,13,60
APOBEC3F_Tcm/Naive helper T cells,APOBEC3F,Tcm/Naive helper T cells,9,60
APOBEC3F_Tem/Effector helper T cells,APOBEC3F,Tem/Effector helper T cells,10,60
APOBEC3F_Tem/Temra cytotoxic T cells,APOBEC3F,Tem/Temra cytotoxic T cells,12,60
APOBEC3F_Tem/Trm cytotoxic T cells,APOBEC3F,Tem/Trm cytotoxic T cells,14,60
APOBEC3F_pDC,APOBEC3F,pDC,8,60
ARHGEF11_Age-associated B cells,ARHGEF11,Age-associated B cells,2,66
ARHGEF11_CD16+ NK cells,ARHGEF11,CD16+ NK cells,18,66
ARHGEF11_CD16- NK cells,ARHGEF11,CD16- NK cells,17,66
ARHGEF11_Classical monocytes,ARHGEF11,Classical monocytes,5,66
ARHGEF11_DC2,ARHGEF11,DC2,7,66
ARHGEF11_MAIT cells,ARHGEF11,MAIT cells,15,66
ARHGEF11_Memory B cells,ARHGEF11,Memory B cells,1,66
ARHGEF11_NK cells,ARHGEF11,NK cells,16,66
ARHGEF11_Naive B cells,ARHGEF11,Naive B cells,0,66
ARHGEF11_Non-classical monocytes,ARHGEF11,Non-classical monocytes,6,66
ARHGEF11_Plasma cells,ARHGEF11,Plasma cells,4,66
ARHGEF11_Plasmablasts,ARHGEF11,Plasmablasts,3,66
ARHGEF11_Regulatory T cells,ARHGEF11,Regulatory T cells,11,66
ARHGEF11_Tcm/Naive cytotoxic T cells,ARHGEF11,Tcm/Naive cytotoxic T cells,13,66
ARHGEF11_Tcm/Naive helper T cells,ARHGEF11,Tcm/Naive helper T cells,9,66
ARHGEF11_Tem/Effector helper T cells,ARHGEF11,Tem/Effector helper T cells,10,66
ARHGEF11_Tem/Temra cytotoxic T cells,ARHGEF11,Tem/Temra cytotoxic T cells,12,66
ARHGEF11_Tem/Trm cytotoxic T cells,ARHGEF11,Tem/Trm cytotoxic T cells,14,66
ARHGEF11_pDC,ARHGEF11,pDC,8,66
ARL17B_Age-associated B cells,ARL17B,Age-associated B cells,2,74
ARL17B_CD16+ NK cells,ARL17B,CD16+ NK cells,18,74
ARL17B_CD16- NK cells,ARL17B,CD16- NK cells,17,74
ARL17B_Classical monocytes,ARL17B,Classical monocytes,5,74
ARL17B_DC2,ARL17B,DC2,7,74
ARL17B_MAIT cells,ARL17B,MAIT cells,15,74
ARL17B_Memory B cells,ARL17B,Memory B cells,1,74
ARL17B_NK cells,ARL17B,NK cells,16,74
ARL17B_Naive B cells,ARL17B,Naive B cells,0,74
ARL17B_Non-classical monocytes,ARL17B,Non-classical monocytes,6,74
ARL17B_Plasma cells,ARL17B,Plasma cells,4,74
ARL17B_Plasmablasts,ARL17B,Plasmablasts,3,74
ARL17B_Regulatory T cells,ARL17B,Regulatory T cells,11,74
ARL17B_Tcm/Naive cytotoxic T cells,ARL17B,Tcm/Naive cytotoxic T cells,13,74
ARL17B_Tcm/Naive helper T cells,ARL17B,Tcm/Naive helper T cells,9,74
ARL17B_Tem/Effector helper T cells,ARL17B,Tem/Effector helper T cells,10,74
ARL17B_Tem/Temra cytotoxic T cells,ARL17B,Tem/Temra cytotoxic T cells,12,74
ARL17B_Tem/Trm cytotoxic T cells,ARL17B,Tem/Trm cytotoxic T cells,14,74
ARL17B_pDC,ARL17B,pDC,8,74
ARPP19_Age-associated B cells,ARPP19,Age-associated B cells,2,76
ARPP19_CD16+ NK cells,ARPP19,CD16+ NK cells,18,76
ARPP19_CD16- NK cells,ARPP19,CD16- NK cells,17,76
ARPP19_Classical monocytes,ARPP19,Classical monocytes,5,76
ARPP19_DC2,ARPP19,DC2,7,76
ARPP19_MAIT cells,ARPP19,MAIT cells,15,76
ARPP19_Memory B cells,ARPP19,Memory B cells,1,76
ARPP19_NK cells,ARPP19,NK cells,16,76
ARPP19_Naive B cells,ARPP19,Naive B cells,0,76
ARPP19_Non-classical monocytes,ARPP19,Non-classical monocytes,6,76
ARPP19_Plasma cells,ARPP19,Plasma cells,4,76
ARPP19_Plasmablasts,ARPP19,Plasmablasts,3,76
ARPP19_Regulatory T cells,ARPP19,Regulatory T cells,11,76
ARPP19_Tcm/Naive cytotoxic T cells,ARPP19,Tcm/Naive cytotoxic T cells,13,76
ARPP19_Tcm/Naive helper T cells,ARPP19,Tcm/Naive helper T cells,9,76
ARPP19_Tem/Effector helper T cells,ARPP19,Tem/Effector helper T cells,10,76
ARPP19_Tem/Temra cytotoxic T cells,ARPP19,Tem/Temra cytotoxic T cells,12,76
ARPP19_Tem/Trm cytotoxic T cells,ARPP19,Tem/Trm cytotoxic T cells,14,76
ARPP19_pDC,ARPP19,pDC,8,76
ASCL3_Age-associated B cells,ASCL3,Age-associated B cells,2,78
ASCL3_CD16+ NK cells,ASCL3,CD16+ NK cells,18,78
ASCL3_CD16- NK cells,ASCL3,CD16- NK cells,17,78
ASCL3_Classical monocytes,ASCL3,Classical monocytes,5,78
ASCL3_DC2,ASCL3,DC2,7,78
ASCL3_MAIT cells,ASCL3,MAIT cells,15,78
ASCL3_Memory B cells,ASCL3,Memory B cells,1,78
ASCL3_NK cells,ASCL3,NK cells,16,78
ASCL3_Naive B cells,ASCL3,Naive B cells,0,78
ASCL3_Non-classical monocytes,ASCL3,Non-classical monocytes,6,78
ASCL3_Plasma cells,ASCL3,Plasma cells,4,78
ASCL3_Plasmablasts,ASCL3,Plasmablasts,3,78
ASCL3_Regulatory T cells,ASCL3,Regulatory T cells,11,78
ASCL3_Tcm/Naive cytotoxic T cells,ASCL3,Tcm/Naive cytotoxic T cells,13,78
ASCL3_Tcm/Naive helper T cells,ASCL3,Tcm/Naive helper T cells,9,78
ASCL3_Tem/Effector helper T cells,ASCL3,Tem/Effector helper T cells,10,78
ASCL3_Tem/Temra cytotoxic T cells,ASCL3,Tem/Temra cytotoxic T cells,12,78
ASCL3_Tem/Trm cytotoxic T cells,ASCL3,Tem/Trm cytotoxic T cells,14,78
ASCL3_pDC,ASCL3,pDC,8,78
ATAD1_Age-associated B cells,ATAD1,Age-associated B cells,2,51
ATAD1_CD16+ NK cells,ATAD1,CD16+ NK cells,18,51
ATAD1_CD16- NK cells,ATAD1,CD16- NK cells,17,51
ATAD1_Classical monocytes,ATAD1,Classical monocytes,5,51
ATAD1_DC2,ATAD1,DC2,7,51
ATAD1_MAIT cells,ATAD1,MAIT cells,15,51
ATAD1_Memory B cells,ATAD1,Memory B cells,1,51
ATAD1_NK cells,ATAD1,NK cells,16,51
ATAD1_Naive B cells,ATAD1,Naive B cells,0,51
ATAD1_Non-classical monocytes,ATAD1,Non-classical monocytes,6,51
ATAD1_Plasma cells,ATAD1,Plasma cells,4,51
ATAD1_Plasmablasts,ATAD1,Plasmablasts,3,51
ATAD1_Regulatory T cells,ATAD1,Regulatory T cells,11,51
ATAD1_Tcm/Naive cytotoxic T cells,ATAD1,Tcm/Naive cytotoxic T cells,13,51
ATAD1_Tcm/Naive helper T cells,ATAD1,Tcm/Naive helper T cells,9,51
ATAD1_Tem/Effector helper T cells,ATAD1,Tem/Effector helper T cells,10,51
ATAD1_Tem/Temra cytotoxic T cells,ATAD1,Tem/Temra cytotoxic T cells,12,51
ATAD1_Tem/Trm cytotoxic T cells,ATAD1,Tem/Trm cytotoxic T cells,14,51
ATAD1_pDC,ATAD1,pDC,8,51
ATAD2_Age-associated B cells,ATAD2,Age-associated B cells,2,85
ATAD2_CD16+ NK cells,ATAD2,CD16+ NK cells,18,85
ATAD2_CD16- NK cells,ATAD2,CD16- NK cells,17,85
ATAD2_Classical monocytes,ATAD2,Classical monocytes,5,85
ATAD2_DC2,ATAD2,DC2,7,85
ATAD2_MAIT cells,ATAD2,MAIT cells,15,85
ATAD2_Memory B cells,ATAD2,Memory B cells,1,85
ATAD2_NK cells,ATAD2,NK cells,16,85
ATAD2_Naive B cells,ATAD2,Naive B cells,0,85
ATAD2_Non-classical monocytes,ATAD2,Non-classical monocytes,6,85
ATAD2_Plasma cells,ATAD2,Plasma cells,4,85
ATAD2_Plasmablasts,ATAD2,Plasmablasts,3,85
ATAD2_Regulatory T cells,ATAD2,Regulatory T cells,11,85
ATAD2_Tcm/Naive cytotoxic T cells,ATAD2,Tcm/Naive cytotoxic T cells,13,85
ATAD2_Tcm/Naive helper T cells,ATAD2,Tcm/Naive helper T cells,9,85
ATAD2_Tem/Effector helper T cells,ATAD2,Tem/Effector helper T cells,10,85
ATAD2_Tem/Temra cytotoxic T cells,ATAD2,Tem/Temra cytotoxic T cells,12,85
ATAD2_Tem/Trm cytotoxic T cells,ATAD2,Tem/Trm cytotoxic T cells,14,85
ATAD2_pDC,ATAD2,pDC,8,85
ATOH8_Age-associated B cells,ATOH8,Age-associated B cells,2,275
ATOH8_CD16+ NK cells,ATOH8,CD16+ NK cells,18,275
ATOH8_CD16- NK cells,ATOH8,CD16- NK cells,17,275
ATOH8_Classical monocytes,ATOH8,Classical monocytes,5,275
ATOH8_DC2,ATOH8,DC2,7,275
ATOH8_MAIT cells,ATOH8,MAIT cells,15,275
ATOH8_Memory B cells,ATOH8,Memory B cells,1,275
ATOH8_NK cells,ATOH8,NK cells,16,275
ATOH8_Naive B cells,ATOH8,Naive B cells,0,275
ATOH8_Non-classical monocytes,ATOH8,Non-classical monocytes,6,275
ATOH8_Plasma cells,ATOH8,Plasma cells,4,275
ATOH8_Plasmablasts,ATOH8,Plasmablasts,3,275
ATOH8_Regulatory T cells,ATOH8,Regulatory T cells,11,275
ATOH8_Tcm/Naive cytotoxic T cells,ATOH8,Tcm/Naive cytotoxic T cells,13,275
ATOH8_Tcm/Naive helper T cells,ATOH8,Tcm/Naive helper T cells,9,275
ATOH8_Tem/Effector helper T cells,ATOH8,Tem/Effector helper T cells,10,275
ATOH8_Tem/Temra cytotoxic T cells,ATOH8,Tem/Temra cytotoxic T cells,12,275
ATOH8_Tem/Trm cytotoxic T cells,ATOH8,Tem/Trm cytotoxic T cells,14,275
ATOH8_pDC,ATOH8,pDC,8,275
ATP10A_Age-associated B cells,ATP10A,Age-associated B cells,2,93
ATP10A_CD16+ NK cells,ATP10A,CD16+ NK cells,18,93
ATP10A_CD16- NK cells,ATP10A,CD16- NK cells,17,93
ATP10A_Classical monocytes,ATP10A,Classical monocytes,5,93
ATP10A_DC2,ATP10A,DC2,7,93
ATP10A_MAIT cells,ATP10A,MAIT cells,15,93
ATP10A_Memory B cells,ATP10A,Memory B cells,1,93
ATP10A_NK cells,ATP10A,NK cells,16,93
ATP10A_Naive B cells,ATP10A,Naive B cells,0,93
ATP10A_Non-classical monocytes,ATP10A,Non-classical monocytes,6,93
ATP10A_Plasma cells,ATP10A,Plasma cells,4,93
ATP10A_Plasmablasts,ATP10A,Plasmablasts,3,93
ATP10A_Regulatory T cells,ATP10A,Regulatory T cells,11,93
ATP10A_Tcm/Naive cytotoxic T cells,ATP10A,Tcm/Naive cytotoxic T cells,13,93
ATP10A_Tcm/Naive helper T cells,ATP10A,Tcm/Naive helper T cells,9,93
ATP10A_Tem/Effector helper T cells,ATP10A,Tem/Effector helper T cells,10,93
ATP10A_Tem/Temra cytotoxic T cells,ATP10A,Tem/Temra cytotoxic T cells,12,93
ATP10A_Tem/Trm cytotoxic T cells,ATP10A,Tem/Trm cytotoxic T cells,14,93
ATP10A_pDC,ATP10A,pDC,8,93
ATP11A_Age-associated B cells,ATP11A,Age-associated B cells,2,70
ATP11A_CD16+ NK cells,ATP11A,CD16+ NK cells,18,70
ATP11A_CD16- NK cells,ATP11A,CD16- NK cells,17,70
ATP11A_Classical monocytes,ATP11A,Classical monocytes,5,70
ATP11A_DC2,ATP11A,DC2,7,70
ATP11A_MAIT cells,ATP11A,MAIT cells,15,70
ATP11A_Memory B cells,ATP11A,Memory B cells,1,70
ATP11A_NK cells,ATP11A,NK cells,16,70
ATP11A_Naive B cells,ATP11A,Naive B cells,0,70
ATP11A_Non-classical monocytes,ATP11A,Non-classical monocytes,6,70
ATP11A_Plasma cells,ATP11A,Plasma cells,4,70
ATP11A_Plasmablasts,ATP11A,Plasmablasts,3,70
ATP11A_Regulatory T cells,ATP11A,Regulatory T cells,11,70
ATP11A_Tcm/Naive cytotoxic T cells,ATP11A,Tcm/Naive cytotoxic T cells,13,70
ATP11A_Tcm/Naive helper T cells,ATP11A,Tcm/Naive helper T cells,9,70
ATP11A_Tem/Effector helper T cells,ATP11A,Tem/Effector helper T cells,10,70
ATP11A_Tem/Temra cytotoxic T cells,ATP11A,Tem/Temra cytotoxic T cells,12,70
ATP11A_Tem/Trm cytotoxic T cells,ATP11A,Tem/Trm cytotoxic T cells,14,70
ATP11A_pDC,ATP11A,pDC,8,70
ATP11C_Age-associated B cells,ATP11C,Age-associated B cells,2,94
ATP11C_CD16+ NK cells,ATP11C,CD16+ NK cells,18,94
ATP11C_CD16- NK cells,ATP11C,CD16- NK cells,17,94
ATP11C_Classical monocytes,ATP11C,Classical monocytes,5,94
ATP11C_DC2,ATP11C,DC2,7,94
ATP11C_MAIT cells,ATP11C,MAIT cells,15,94
ATP11C_Memory B cells,ATP11C,Memory B cells,1,94
ATP11C_NK cells,ATP11C,NK cells,16,94
ATP11C_Naive B cells,ATP11C,Naive B cells,0,94
ATP11C_Non-classical monocytes,ATP11C,Non-classical monocytes,6,94
ATP11C_Plasma cells,ATP11C,Plasma cells,4,94
ATP11C_Plasmablasts,ATP11C,Plasmablasts,3,94
ATP11C_Regulatory T cells,ATP11C,Regulatory T cells,11,94
ATP11C_Tcm/Naive cytotoxic T cells,ATP11C,Tcm/Naive cytotoxic T cells,13,94
ATP11C_Tcm/Naive helper T cells,ATP11C,Tcm/Naive helper T cells,9,94
ATP11C_Tem/Effector helper T cells,ATP11C,Tem/Effector helper T cells,10,94
ATP11C_Tem/Temra cytotoxic T cells,ATP11C,Tem/Temra cytotoxic T cells,12,94
ATP11C_Tem/Trm cytotoxic T cells,ATP11C,Tem/Trm cytotoxic T cells,14,94
ATP11C_pDC,ATP11C,pDC,8,94
ATP2B2_Age-associated B cells,ATP2B2,Age-associated B cells,2,96
ATP2B2_CD16+ NK cells,ATP2B2,CD16+ NK cells,18,96
ATP2B2_CD16- NK cells,ATP2B2,CD16- NK cells,17,96
ATP2B2_Classical monocytes,ATP2B2,Classical monocytes,5,96
